央视,#genre#
大连新闻综合,http://ygbh.site/php/bfgd.php?id=273
丹东新闻综合,http://ygbh.site/php/bfgd.php?id=276
锦州新闻综合,http://ygbh.site/php/bfgd.php?id=277
阜新综合,http://ygbh.site/php/bfgd.php?id=279
辽阳新闻综合,http://ygbh.site/php/bfgd.php?id=280
营口新闻综合,http://ygbh.site/php/bfgd.php?id=278
盘锦新闻综合,http://ygbh.site/php/bfgd.php?id=283
铁岭新闻综合,http://ygbh.site/php/bfgd.php?id=281
朝阳新闻综合,http://ygbh.site/php/bfgd.php?id=282
本溪综合,http://ygbh.site/php/bfgd.php?id=312
连山区综合,http://ygbh.site/php/bfgd.php?id=491
龙港区综合,http://ygbh.site/php/bfgd.php?id=490
葫芦岛新闻综合,http://ygbh.site/php/bfgd.php?id=284

两岸,#genre#
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp
明珠台,http://bxtv.3a.ink/api.php?id=mz
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
翡翠台,http://bxtv.3a.ink/api.php?id=fct
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
緯來體育,http://bxtv.3a.ink/api.php?id=wlty
广东体育,http://bxtv.3a.ink/api.php?id=gdty
台視,http://bxtv.3a.ink/api.php?id=台視
台視新聞,http://bxtv.3a.ink/api.php?id=台視新聞
中視,http://bxtv.3a.ink/api.php?id=中視
中視新聞,http://bxtv.3a.ink/api.php?id=中視新聞
華視,http://bxtv.3a.ink/api.php?id=華視
華視新聞,http://bxtv.3a.ink/api.php?id=華視新聞
三立新聞iNEWS,http://bxtv.3a.ink/api.php?id=三立新聞iNEWS
中天新聞台,http://bxtv.3a.ink/api.php?id=中天新聞
寰宇新聞台,http://bxtv.3a.ink/api.php?id=寰宇新聞
寰宇財經台,http://bxtv.3a.ink/api.php?id=寰宇財經
龍華卡通台,http://bxtv.3a.ink/api.php?id=龍華卡通
龍華戲劇台,http://bxtv.3a.ink/api.php?id=龍華戲劇
龍華偶像台,http://bxtv.3a.ink/api.php?id=龍華偶像
龍華日韓台,http://bxtv.3a.ink/api.php?id=龍華日韓
龍華經典台,http://bxtv.3a.ink/api.php?id=龍華經典
龍華電影台,http://bxtv.3a.ink/api.php?id=龍華電影
龍華洋片台,http://bxtv.3a.ink/api.php?id=龍華洋片

港澳☞0801,#genre#
华丽翡翠,https://smt.520761.xyz/Smart.php?id=Tvbjade
翡翠台,https://smt.520761.xyz/Smart.php?id=Jade_xue
翡翠台,https://smt.520761.xyz/Smart.php?id=jade_twn
TVB Plus,https://smt.520761.xyz/Smart.php?id=j2_twn
明珠台,https://smt.520761.xyz/Smart.php?id=pearl_twn
无线新闻台,https://smt.520761.xyz/Smart.php?id=inews_twn
凤凰香港,https://smt.520761.xyz/Smart.php?id=tvbcaijing_twn
HOY78台,https://smt.520761.xyz/Smart.php?id=hoycaijing_twn
VIUTV6,https://smt.520761.xyz/Smart.php?id=viusix_twn
VIUTV,https://smt.520761.xyz/Smart.php?id=viu1_twn
TVB星河,https://smt.520761.xyz/Smart.php?id=Xinhe
TVB星河,https://smt.520761.xyz/Smart.php?id=tvbxinhe_twn
RTHK32,https://smt.520761.xyz/Smart.php?id=rhk32_twn
RTHK31,https://smt.520761.xyz/Smart.php?id=rhk31_twn
凤凰卫视,https://smt.520761.xyz/Smart.php?id=phoenixtv_hd
千禧经典,https://smt.520761.xyz/Smart.php?id=Tvbclassic
ASTRO AOD,https://smt.520761.xyz/Smart.php?id=Aodhd
TVN,https://smt.520761.xyz/Smart.php?id=TVN
纬来体育,https://smt.520761.xyz/Smart.php?id=videolandsport
纬来日本,https://smt.520761.xyz/Smart.php?id=videolandjapan
纬来电影,https://smt.520761.xyz/Smart.php?id=videolandmovie
天映频道,https://smt.520761.xyz/Smart.php?id=Celestial
探索亚洲,https://smt.520761.xyz/Smart.php?id=discoverytwn_twn
探索频道,https://smt.520761.xyz/Smart.php?id=ba86fcd935
探索,https://smt.520761.xyz/Smart.php?id=discoverych_twn
台视新闻,https://smt.520761.xyz/Smart.php?id=ttvnews_twn
时尚频道,https://smt.520761.xyz/Smart.php?id=fashiontv_twn
中天综合,https://smt.520761.xyz/Smart.php?id=ctizhonghe
中天亚洲,https://smt.520761.xyz/Smart.php?id=ctiasia_twn
中天娱乐,https://smt.520761.xyz/Smart.php?id=ctient
中天新闻,https://smt.520761.xyz/Smart.php?id=ctinews
中视新闻,https://smt.520761.xyz/Smart.php?id=ca73a13c37
亚洲旅游台,https://smt.520761.xyz/Smart.php?id=asiatravel_twn
三立综合台,https://smt.520761.xyz/Smart.php?id=sanlizhonghe
三立戏剧,https://smt.520761.xyz/Smart.php?id=sanlixiju_twn
三立台湾台,https://smt.520761.xyz/Smart.php?id=sanlitaiwan
年代新闻,https://smt.520761.xyz/Smart.php?id=niandainews_twn
民视新闻台,https://smt.520761.xyz/Smart.php?id=ftvnew_taiwan
民视台湾台,https://smt.520761.xyz/Smart.php?id=ftvtaiwan_twn
民视第一台,https://smt.520761.xyz/Smart.php?id=lunghuajingdian_twn
民视,https://smt.520761.xyz/Smart.php?id=ftvhd_taiwan
美亚电影台,https://smt.520761.xyz/Smart.php?id=meiyamovie_twn
美食星球,https://smt.520761.xyz/Smart.php?id=foodplanet_twn
龙祥时代,https://smt.520761.xyz/Smart.php?id=lungxiangtime_twn
龙祥时代,https://smt.520761.xyz/Smart.php?id=cb7a1fec69
龙华洋片,https://smt.520761.xyz/Smart.php?id=lunghuawestern_twn
龙华戏剧,https://smt.520761.xyz/Smart.php?id=lunghuaxiju_twn
龙华偶像,https://smt.520761.xyz/Smart.php?id=lunghuaidol_twn
龙华电影,https://smt.520761.xyz/Smart.php?id=xingwei_movie
龙华电影,https://smt.520761.xyz/Smart.php?id=xingwei_movie
靖天卡通,https://smt.520761.xyz/Smart.php?id=jingtiancartoon_twn
靖天国际台,https://smt.520761.xyz/Smart.php?id=jingtianintl_twn
寰宇新闻台,https://smt.520761.xyz/Smart.php?id=huanyuxinwen_twn
华艺moc,https://smt.520761.xyz/Smart.php?id=weishichinese_twn
华艺moc,https://smt.520761.xyz/Smart.php?id=weishichinese_twn
华纳TV,https://smt.520761.xyz/Smart.php?id=WarnerTV
好莱坞电影台,https://smt.520761.xyz/Smart.php?id=hollywoodmovies_twn
非凡新闻,https://smt.520761.xyz/Smart.php?id=feifannews_twn
动物星球,https://smt.520761.xyz/Smart.php?id=animalplanet_twn
東森新闻,https://smt.520761.xyz/Smart.php?id=ettvnews
東森戏剧,https://smt.520761.xyz/Smart.php?id=ettvdrama
東森电影台,https://smt.520761.xyz/Smart.php?id=ettvmovie
东森综合台,https://smt.520761.xyz/Smart.php?id=ettvzhonghe
东森洋片,https://smt.520761.xyz/Smart.php?id=ettvwestern
东森超视,https://smt.520761.xyz/Smart.php?id=ettvsuper
东森财经新闻,https://smt.520761.xyz/Smart.php?id=ettvcaijing_twn
大爱,https://smt.520761.xyz/Smart.php?id=daai_twn
博斯运动II,https://smt.520761.xyz/Smart.php?id=bosisport2_twn
博斯网球,https://smt.520761.xyz/Smart.php?id=bositennis_twn
博斯魅力,https://smt.520761.xyz/Smart.php?id=bosisport1_twn
博斯高球II,https://smt.520761.xyz/Smart.php?id=bosigolf2_twn
博斯高球I,https://smt.520761.xyz/Smart.php?id=bosigolf1_twn
八大综合台,https://smt.520761.xyz/Smart.php?id=badazhonghe
八大戏剧台,https://smt.520761.xyz/Smart.php?id=badadrama
八大第1台,https://smt.520761.xyz/Smart.php?id=badafirst
公视,https://smt.520761.xyz/Smart.php?id=ctv_taiwan
爱奇艺,https://smt.520761.xyz/Smart.php?id=Qiyi
WWE,https://smt.520761.xyz/Smart.php?id=Wwe
TVBS新闻台,https://smt.520761.xyz/Smart.php?id=tvbs_n
TVBS欢乐台,https://smt.520761.xyz/Smart.php?id=tvbshuanle_twn
TVBS,https://smt.520761.xyz/Smart.php?id=tvbs
HBO家庭,https://smt.520761.xyz/Smart.php?id=fyi_twn
HBOHD,https://smt.520761.xyz/Smart.php?id=hbohd_twn
HBO,https://smt.520761.xyz/Smart.php?id=huanyutaiwan_twn
HBO,https://smt.520761.xyz/Smart.php?id=hbosignature_twn
HBO,https://smt.520761.xyz/Smart.php?id=hbohead_twn
HBO,https://smt.520761.xyz/Smart.php?id=Hbo
EYE戏剧,https://smt.520761.xyz/Smart.php?id=eyetvxiju_twn
EYE旅游,https://smt.520761.xyz/Smart.php?id=eyetvtravel_twn
ELTA综合,https://smt.520761.xyz/Smart.php?id=eltazonghe
ELTA影剧,https://smt.520761.xyz/Smart.php?id=eltadrama_twn
ELTA体育1台,https://smt.520761.xyz/Smart.php?id=eltasport1_twn
ELTA体育2台,https://smt.520761.xyz/Smart.php?id=eltasport2_twn
ELTA体育3台,https://smt.520761.xyz/Smart.php?id=eltasport3_twn
ELTA体育4台,https://smt.520761.xyz/Smart.php?id=natgeowild_twn
astro欢喜台,https://smt.520761.xyz/Smart.php?id=Huahee
astroQJ,https://smt.520761.xyz/Smart.php?id=Quanjia
新加坡CNA,https://smt.520761.xyz/Smart.php?id=cna

港澳☞0618,#genre#
翡翠台,http://t.061899.xyz/tl/168.php?id=fct
无线新聞台,http://t.061899.xyz/tl/168.php?id=wxxwt
明珠台,http://t.061899.xyz/tl/168.php?id=zzt
TVBPlus,http://t.061899.xyz/tl/168.php?id=2j
千禧经典台,http://t.061899.xyz/tl/168.php?id=tvbqxjd
爆谷台,http://j.s.bkpcp.top/js/nowbgt
星影台,http://j.s.bkpcp.top/js/nowxyt
鳳凰中文,http://j.s.bkpcp.top/js/fhzw
鳳凰資訊,http://j.s.bkpcp.top/js/fhzx
鳳凰香港,http://j.s.bkpcp.top/js/fhxg
PopC,http://tl.061833.xyz/tl/popc
PopC,http://fr-us7.jdiptv.cc/live/popc.m3u8
美亚电影,http://fr-us7.jdiptv.cc/live/xgmydygy.m3u8
天映经典,http://fr-us7.jdiptv.cc/live/xgtyjdgy.m3u8
天映经典(备),http://t.061899.xyz/tl/168.php?id=tyjd
天映频道,http://t.061899.xyz/tl/168.php?id=typd
中天新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdztxw
台視新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdtsxw
中視新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdzsxw
華視新聞HD,http://t.061899.xyz/tl/js/tw.php?id=hdhsxw
民視HD,http://t.061899.xyz/tl/js/tw.php?id=hdms
中視HD,http://t.061899.xyz/tl/js/tw.php?id=hdzs
台視HD,http://t.061899.xyz/tl/js/tw.php?id=hdts
公視HD,http://t.061899.xyz/tl/js/tw.php?id=hdgs
華視HD,http://t.061899.xyz/tl/js/tw.php?id=hdhs
公視2HD,http://t.061899.xyz/tl/js/tw.php?id=2hdgs
公視3HD,http://t.061899.xyz/tl/js/tw.php?id=3hdgs
民視台灣HD,http://t.061899.xyz/tl/js/tw.php?id=hdmstw
民視第一台HD,http://t.061899.xyz/tl/js/tw.php?id=hdmsdyt
華視教育文化HD,http://t.061899.xyz/tl/js/tw.php?id=hdhsjywh
客家電視HD,http://t.061899.xyz/tl/js/tw.php?id=hdkjds
原民電視HD,http://t.061899.xyz/tl/js/tw.php?id=hdymds
台視綜合,http://t.061899.xyz/tl/js/tw.php?id=tszh
台視財經,http://t.061899.xyz/tl/js/tw.php?id=tscj
MOMO親子台,http://t.061899.xyz/tl/js/tw.php?id=momoqzt
八大第一HD,http://t.061899.xyz/tl/js/tw.php?id=hdbddy
八大綜合HD,http://t.061899.xyz/tl/js/tw.php?id=hdbdzh
三立台灣台HD,http://t.061899.xyz/tl/js/tw.php?id=hdsltwt
三立都會台HD,http://t.061899.xyz/tl/js/tw.php?id=hdsldht
東森超視HD,http://t.061899.xyz/tl/js/tw.php?id=hddscs
DiscoveryHD,http://t.061899.xyz/tl/js/tw.php?id=discoveryhd
探索科學HD,http://t.061899.xyz/tl/js/tw.php?id=hdtskx
